activity_name,product_name,geography,time_period,sector,unit,cas_number
treatment of automobile catalyst,palladium,RER,1995 - 2025,Waste Treatment & Recycling,kg,007440-05-3
treatment of automobile catalyst,platinum,RoW,1995 - 2025,Waste Treatment & Recycling,kg,007440-06-4
treatment of automobile catalyst,palladium,RoW,1995 - 2025,Waste Treatment & Recycling,kg,007440-05-3
treatment of automobile catalyst,rhodium,RoW,1995 - 2025,Waste Treatment & Recycling,kg,007440-16-6
"treatment of average incineration residue, residual material landfill",average incineration residue,CH,2010 - 2025,Waste Treatment & Recycling,kg,
"treatment of average incineration residue, residual material landfill",average incineration residue,RoW,2010 - 2025,Waste Treatment & Recycling,kg,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",BR-North-eastern grid,2014 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",BR-North-eastern grid,2014 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",BR-South-eastern/Mid-western grid,2014 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",BR-South-eastern/Mid-western grid,2014 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",BR-Southern grid,2014 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",BR-Southern grid,2014 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",CO,2014 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",CO,2014 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",IN-Eastern grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",IN-Eastern grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",IN-North-eastern grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",IN-North-eastern grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",IN-Northern grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",IN-Northern grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",IN-Southern grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",IN-Southern grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",IN-Western grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",IN-Western grid,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",RoW,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sugarcane, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",RoW,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal","electricity, high voltage",GLO,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"treatment of bagasse, from sweet sorghum, in heat and power co-generation unit, 6400kW thermal","heat, district or industrial, other than natural gas",GLO,2000 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"treatment of basic oxygen furnace dust, residual material landfill",basic oxygen furnace dust,GLO,2010 - 2025,Waste Treatment & Recycling; Metals,kg,
"treatment of basic oxygen furnace secondary metallurgy slag, residual material landfill",basic oxygen furnace secondary metallurgy slag,GLO,2010 - 2025,Waste Treatment & Recycling; Metals,kg,
"treatment of basic oxygen furnace slag, residual material landfill",basic oxygen furnace slag,GLO,2010 - 2025,Waste Treatment & Recycling; Metals,kg,
"treatment of basic oxygen furnace sludge, residual material landfill",basic oxygen furnace sludge,GLO,2010 - 2025,Waste Treatment & Recycling; Metals,kg,
"treatment of basic oxygen furnace waste, residual material landfill",basic oxygen furnace waste,IN,2010 - 2025,Waste Treatment & Recycling,kg,
"treatment of basic oxygen furnace waste, residual material landfill",basic oxygen furnace waste,RER,2010 - 2025,Waste Treatment & Recycling,kg,
"treatment of basic oxygen furnace waste, residual material landfill",basic oxygen furnace waste,RoW,2010 - 2025,Waste Treatment & Recycling,kg,
"treatment of bilge oil, hazardous waste incineration",bilge oil,CH,1997 - 2025,Waste Treatment & Recycling,kg,
"treatment of bilge oil, hazardous waste incineration",bilge oil,Europe without Switzerland,1997 - 2025,Waste Treatment & Recycling,kg,
"treatment of bilge oil, hazardous waste incineration",bilge oil,RoW,1997 - 2025,Waste Treatment & Recycling,kg,
"treatment of bilge oil, hazardous waste incineration, with energy recovery","heat, district or industrial, other than natural gas",CH,1997 - 2025,Waste Treatment & Recycling,MJ,
"treatment of bilge oil, hazardous waste incineration, with energy recovery","electricity, medium voltage",CH,1997 - 2025,Waste Treatment & Recycling,kWh,
"treatment of bilge oil, hazardous waste incineration, with energy recovery",bilge oil,CH,1997 - 2025,Waste Treatment & Recycling,kg,
"treatment of bilge oil, hazardous waste incineration, with energy recovery","heat, district or industrial, other than natural gas",Europe without Switzerland,1997 - 2025,Waste Treatment & Recycling,MJ,
"treatment of bilge oil, hazardous waste incineration, with energy recovery","electricity, medium voltage",Europe without Switzerland,1997 - 2025,Waste Treatment & Recycling,kWh,
"treatment of bilge oil, hazardous waste incineration, with energy recovery",bilge oil,Europe without Switzerland,1997 - 2025,Waste Treatment & Recycling,kg,
"treatment of bilge oil, hazardous waste incineration, with energy recovery",bilge oil,RoW,1997 - 2025,Waste Treatment & Recycling,kg,
"treatment of bilge oil, hazardous waste incineration, with energy recovery","electricity, medium voltage",RoW,1997 - 2025,Waste Treatment & Recycling,kWh,
"treatment of bilge oil, hazardous waste incineration, with energy recovery","heat, district or industrial, other than natural gas",RoW,1997 - 2025,Waste Treatment & Recycling,MJ,
treatment of biowaste by anaerobic digestion,biogas,CH,2011 - 2025,Waste Treatment & Recycling,m3,
treatment of biowaste by anaerobic digestion,biowaste,CH,2011 - 2025,Waste Treatment & Recycling,kg,
treatment of biowaste by anaerobic digestion,biowaste,RoW,2011 - 2025,Waste Treatment & Recycling,kg,
treatment of biowaste by anaerobic digestion,biogas,RoW,2011 - 2025,Waste Treatment & Recycling,m3,
"treatment of biowaste, industrial composting",biowaste,CH,2011 - 2025,Waste Treatment & Recycling,kg,
"treatment of biowaste, industrial composting",compost,CH,2011 - 2025,Waste Treatment & Recycling,kg,
"treatment of biowaste, industrial composting",biowaste,RoW,2011 - 2025,Waste Treatment & Recycling,kg,
"treatment of biowaste, industrial composting",compost,RoW,2011 - 2025,Waste Treatment & Recycling,kg,
"treatment of biowaste, municipal incineration","electricity, for reuse in municipal waste incineration only",GLO,2006 - 2025,Waste Treatment & Recycling,kWh,
"treatment of biowaste, municipal incineration",biowaste,GLO,2006 - 2025,Waste Treatment & Recycling,kg,
"treatment of biowaste, municipal incineration","heat, for reuse in municipal waste incineration only",GLO,2006 - 2025,Waste Treatment & Recycling,MJ,
"treatment of biowaste, municipal incineration FAE",biowaste,CH,2006 - 2025,Waste Treatment & Recycling,kg,
"treatment of biowaste, municipal incineration FAE","heat, for reuse in municipal waste incineration only",CH,2006 - 2025,Waste Treatment & Recycling,MJ,
"treatment of biowaste, municipal incineration FAE","electricity, for reuse in municipal waste incineration only",CH,2006 - 2025,Waste Treatment & Recycling,kWh,
"treatment of biowaste, open dump",biowaste,IN,2010 - 2025,Waste Treatment & Recycling,kg,
"treatment of biowaste, open dump",biowaste,RoW,2010 - 2025,Waste Treatment & Recycling,kg,
"treatment of blast furnace dust, residual material landfill",blast furnace dust,GLO,2010 - 2025,Waste Treatment & Recycling; Metals,kg,
"treatment of blast furnace gas, in power plant","electricity, high voltage",AT,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",AT,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",AU,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",AU,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",BA,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",BA,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",BE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",BE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",BG,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",BG,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",BR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",BR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CA-AB,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CA-AB,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CA-NB,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CA-NB,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CA-NS,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CA-NS,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CA-ON,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CA-ON,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CA-PE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CA-PE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-AH,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-AH,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-BJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-BJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-CQ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-CQ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-FJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-FJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-GD,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-GD,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-GS,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-GS,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-GX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-GX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-GZ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-GZ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-HA,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-HA,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-HB,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-HB,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-HE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-HE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-HL,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-HL,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-HN,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-HN,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-HU,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-HU,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-JL,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-JL,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-JS,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-JS,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-JX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-JX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-LN,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-LN,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-NM,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-NM,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-NX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-NX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-QH,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-QH,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-SA,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-SA,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-SC,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-SC,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-SD,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-SD,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-SH,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-SH,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-SX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-SX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-TJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-TJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-XJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-XJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-XZ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-XZ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-YN,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-YN,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CN-ZJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CN-ZJ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",CZ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",CZ,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",DE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",DE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",EE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",EE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",ES,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",ES,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",FI,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",FI,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",FR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",FR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",GB,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",GB,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",HR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",HR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",HU,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",HU,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",IE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",IE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",IR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",IR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",IT,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",IT,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",JP,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",JP,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",KR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",KR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",MX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",MX,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",NL,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",NL,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","electricity, high voltage",NO,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",NO,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",PL,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",PL,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",RO,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",RO,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",RoW,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",RoW,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",RS,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",RS,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",RU,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",RU,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",SE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",SE,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",SK,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
"treatment of blast furnace gas, in power plant","electricity, high voltage",SK,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,kWh,
"treatment of blast furnace gas, in power plant","heat, district or industrial, other than natural gas",TR,1980 - 2025,Electricity; Waste Treatment & Recycling; Heat,MJ,
